order_id,order_date,customer,region,product,quantity,unit_price,amount
1001,2026-01-02,Willow Yoga,East,Espresso cups (set of 4),6,22.00,132.00
1002,2026-01-02,Cedar Books,East,Tea sampler,2,14.25,28.50
1003,2026-01-02,Maple Bakery,North,Tote bag,6,7.50,45.00
1004,2026-01-02,Riverbend Gym,South,Ceramic mug,1,9.00,9.00
1005,2026-01-02,Riverbend Gym,South,Coffee beans 1kg,6,18.50,111.00
1006,2026-01-03,Cedar Books,East,Ceramic mug,5,9.00,45.00
1007,2026-01-04,Orchid Florist,South,Tea sampler,4,14.25,57.00
1008,2026-01-04,Orchid Florist,South,Tea sampler,3,14.25,42.75
1009,2026-01-05,Pine Street Deli,North,Water bottle,3,12.00,36.00
1010,2026-01-07,Summit Outfitters,West,Coffee beans 1kg,2,18.50,37.00
1011,2026-01-08,Bluebird Cafe,West,Gift card,2,25.00,50.00
1012,2026-01-10,Cedar Books,East,Water bottle,5,12.00,60.00
1013,2026-01-12,Juniper Studio,West,Water bottle,1,12.00,12.00
1014,2026-01-13,Summit Outfitters,West,Tea sampler,2,14.25,28.50
1015,2026-01-14,Orchid Florist,South,Espresso cups (set of 4),2,22.00,44.00
1016,2026-01-14,Willow Yoga,East,Ceramic mug,1,9.00,9.00
1017,2026-01-16,Juniper Studio,West,Espresso cups (set of 4),5,22.00,110.00
1018,2026-01-18,Pine Street Deli,North,Coffee beans 1kg,3,18.50,55.50
1019,2026-01-19,Cedar Books,East,Tea sampler,2,14.25,28.50
1020,2026-01-19,Maple Bakery,North,Water bottle,4,12.00,48.00
1021,2026-01-21,Juniper Studio,West,Ceramic mug,6,9.00,54.00
1022,2026-01-22,Bluebird Cafe,West,Ceramic mug,5,9.00,45.00
1023,2026-01-22,Bluebird Cafe,West,Gift card,1,25.00,25.00
1024,2026-01-24,Willow Yoga,East,Notebook,6,4.75,28.50
1025,2026-01-24,Harbor Hardware,East,Espresso cups (set of 4),4,22.00,88.00
1026,2026-01-26,Willow Yoga,East,Espresso cups (set of 4),3,22.00,66.00
